,Age,Height,Weight,Overall,Potential,Growth,TotalStats,BaseStats,ValueEUR,WageEUR,ReleaseClause,IntReputation,ShootingTotal,PassingTotal,DribblingTotal,PhysicalityTotal,Crossing,ShortPassing,Curve,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,ShotPower,LongShots,Vision,Composure,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,PreferredFoot_Left,PreferredFoot_Right,AttackingWorkRate_High,AttackingWorkRate_Low,AttackingWorkRate_Medium,DefensiveWorkRate_High,DefensiveWorkRate_Low,DefensiveWorkRate_Medium
11,28,183,78,89,89,0,2142,455,104000000,220000,197600000,4,87,82,86,69,83,84,85,74,84,85,90,86,91,88,89,83,89,11,13,13,6,10,88,87,87,87,87,87,89,89,83,89,71,67,71,67,57,67,0,1,1,0,0,1,0,0
12,29,185,84,89,89,0,2219,462,88000000,310000,180400000,3,73,76,72,90,58,84,62,84,79,60,69,61,87,88,81,80,84,13,14,16,12,12,79,72,76,76,76,72,79,77,85,77,83,89,83,84,89,84,0,1,1,0,0,1,0,0
13,33,185,81,89,89,0,2116,446,66000000,350000,135300000,4,86,81,87,77,75,86,81,73,90,77,75,79,91,85,79,87,90,13,11,5,5,7,89,85,87,87,87,85,89,87,83,87,66,65,66,62,58,62,0,1,0,0,1,0,0,1
14,29,199,96,89,91,2,1327,469,85500000,250000,181700000,4,89,74,88,86,14,33,19,35,23,42,52,62,84,56,17,44,66,84,89,74,86,88,34,29,31,31,31,29,35,34,35,34,32,34,32,32,32,32,1,0,0,0,1,0,0,1
15,29,175,69,89,89,0,2192,465,101000000,270000,186900000,4,83,80,90,77,78,84,77,71,88,93,90,93,91,83,80,84,84,10,10,15,7,14,89,87,88,88,88,87,89,89,83,89,71,68,71,68,62,68,0,1,1,0,0,0,0,1
16,29,193,92,89,89,0,2104,455,86000000,230000,159100000,4,60,71,71,84,53,79,60,86,76,66,88,61,87,81,64,65,90,13,10,13,11,11,73,67,69,69,69,67,73,73,78,73,82,87,82,84,89,84,0,1,0,0,1,0,0,1
17,22,196,90,89,93,4,1377,481,119500000,110000,230000000,3,83,79,90,85,12,36,12,34,30,50,55,64,85,59,18,60,68,91,83,79,85,90,37,34,36,36,36,34,41,38,40,38,34,37,34,34,34,34,0,1,0,0,1,0,0,1
18,29,175,71,89,89,0,2211,468,101000000,270000,186900000,4,87,81,90,75,79,84,83,75,89,89,91,91,92,82,84,83,90,14,14,9,11,14,88,88,88,88,88,88,89,89,85,89,74,71,74,70,61,70,1,0,1,0,0,0,0,1
19,27,188,86,89,91,2,1583,501,94000000,200000,181000000,3,82,93,88,88,20,61,15,66,40,64,63,60,88,70,18,70,70,87,82,93,88,88,43,41,43,43,43,41,50,47,52,47,40,47,40,39,38,39,1,0,0,0,1,0,0,1
20,26,177,75,89,90,1,2283,475,108000000,160000,186300000,4,73,86,84,79,91,87,85,90,85,77,65,84,88,78,84,85,85,8,15,7,15,15,80,82,81,81,81,82,86,86,89,86,88,89,88,86,84,86,0,1,1,0,0,0,0,1
21,28,191,91,89,90,1,1393,486,82000000,190000,157900000,3,86,84,89,90,17,45,19,44,30,56,47,40,87,63,14,66,65,86,86,84,90,89,40,35,38,38,38,35,43,41,43,41,34,38,34,33,34,33,0,1,0,0,1,0,0,1
22,28,191,94,88,88,0,2064,445,93500000,260000,173000000,4,87,74,78,83,73,77,78,70,77,81,87,60,91,89,74,75,86,8,15,14,7,10,88,81,84,84,84,81,83,83,77,83,64,62,64,61,60,61,1,0,0,0,1,0,0,1
23,35,184,82,88,88,0,2251,461,24000000,115000,44400000,4,70,76,73,84,66,82,74,83,83,71,69,77,92,79,64,71,88,11,8,9,7,11,79,73,75,75,75,73,78,77,82,77,84,88,84,86,88,86,0,1,1,0,0,0,0,1
24,34,182,83,88,88,0,2307,457,44500000,135000,91200000,5,90,82,83,83,80,83,86,77,86,76,69,75,92,89,88,84,87,27,25,31,33,37,88,84,86,86,86,84,88,86,83,86,69,70,69,66,64,66,0,1,1,0,0,0,0,1
25,31,183,76,88,88,0,2148,445,75000000,310000,153800000,4,81,91,81,68,88,93,86,93,88,55,52,63,90,89,86,90,88,10,11,13,7,10,80,80,81,81,81,80,86,84,88,84,80,84,80,77,74,77,0,1,0,0,1,0,0,1
26,20,194,94,88,93,5,2102,458,137500000,110000,244100000,4,91,65,80,88,47,77,77,51,85,82,94,75,88,94,87,71,84,7,14,13,11,7,90,80,84,84,84,80,84,81,76,81,65,66,65,63,63,63,1,0,1,0,0,1,0,0
27,34,185,80,88,88,0,1428,477,15500000,130000,28700000,3,84,75,89,87,11,40,21,37,30,54,53,60,85,56,13,68,67,89,84,75,87,89,37,35,37,37,37,35,43,40,42,40,35,39,35,34,35,34,0,1,0,0,1,0,0,1
28,26,179,69,88,89,1,2341,481,107500000,250000,206900000,3,86,89,84,77,87,91,87,88,87,77,73,80,91,89,89,90,87,12,14,15,8,14,86,85,85,85,85,85,89,89,89,89,83,83,83,80,76,80,0,1,1,0,0,1,0,0
29,26,170,69,88,89,1,2113,451,107500000,290000,206900000,4,82,79,88,66,79,83,79,69,86,95,88,94,90,78,83,82,78,15,12,12,15,9,84,87,86,86,86,87,89,88,81,88,72,67,72,68,58,68,0,1,1,0,0,0,0,1
30,28,165,60,87,87,0,2202,449,79500000,155000,147100000,3,61,87,91,67,82,90,85,89,92,68,60,91,87,60,58,89,94,12,12,15,15,10,74,81,79,79,79,81,87,85,87,85,85,87,85,83,80,83,0,1,0,0,1,1,0,0
31,35,172,66,87,87,0,2253,464,32000000,190000,65599999,4,76,89,88,66,86,91,85,89,90,76,70,91,88,79,82,90,92,13,9,7,14,9,79,83,82,82,82,83,87,87,87,87,84,84,84,81,75,81,0,1,0,0,1,0,0,1
32,33,180,69,87,87,0,2177,455,49500000,160000,91600000,4,81,86,88,69,88,84,91,82,87,83,83,94,84,83,86,88,86,10,7,11,12,11,82,85,84,84,84,85,87,87,84,87,73,71,73,69,61,69,1,0,1,0,0,0,0,1
33,31,195,90,87,87,0,1317,465,42000000,105000,69300000,3,82,73,88,87,12,32,16,36,22,51,47,55,82,55,14,48,65,86,82,73,87,88,34,28,31,31,31,28,35,34,36,34,31,34,31,31,32,31,0,1,0,0,1,0,0,1
34,31,185,76,87,87,0,2136,440,66000000,140000,108900000,4,84,83,79,71,85,85,81,79,84,66,67,73,94,78,82,85,84,6,7,11,14,14,86,83,84,84,84,83,87,86,85,86,74,74,74,72,66,72,0,1,1,0,0,1,0,0
35,31,185,85,87,87,0,2065,437,67500000,125000,114800000,4,87,67,81,77,55,80,70,53,83,84,87,75,90,86,80,71,79,6,8,15,12,6,87,81,84,84,84,81,84,82,76,82,64,63,64,62,59,62,0,1,1,0,0,0,0,1
36,28,191,84,87,87,0,2222,472,79500000,220000,147100000,4,81,86,86,83,77,88,85,92,90,63,77,73,83,90,84,89,88,5,6,2,4,3,85,82,83,83,83,82,87,86,87,86,77,81,77,75,75,75,0,1,1,0,0,0,0,1
37,26,189,82,87,88,1,2314,496,93000000,140000,160400000,4,82,82,84,86,75,86,76,84,87,78,83,76,88,85,86,84,82,13,8,15,11,9,87,83,85,85,85,83,88,87,88,87,86,87,86,85,86,85,0,1,1,0,0,0,0,1
38,27,183,75,87,90,3,2074,452,90500000,135000,174200000,3,53,75,73,81,68,84,58,85,79,81,81,69,87,65,45,74,86,6,6,12,10,13,73,72,72,72,72,72,77,78,82,78,86,88,86,87,89,87,0,1,0,0,1,1,0,0
39,27,177,75,87,88,1,2134,447,93000000,160000,160400000,3,86,86,91,60,82,87,90,79,93,88,80,92,80,84,89,91,79,5,4,4,5,8,85,87,86,86,86,87,88,88,84,88,69,66,69,65,55,65,1,0,0,0,1,0,0,1
40,27,178,64,87,88,1,2163,465,83500000,175000,160700000,3,61,81,81,76,88,82,82,76,83,83,85,78,85,76,65,80,83,11,8,10,7,14,75,79,77,77,77,79,82,84,84,84,88,85,88,87,82,87,1,0,1,0,0,1,0,0
41,24,180,74,87,92,5,2229,478,119500000,210000,253900000,3,69,85,88,78,78,91,84,87,89,80,82,88,88,68,66,86,90,7,13,10,10,9,81,83,82,82,82,83,88,88,89,88,86,86,86,85,81,85,0,1,1,0,0,0,0,1
42,22,180,69,87,92,5,2227,467,114000000,150000,219500000,3,68,88,80,72,92,86,87,90,86,77,80,73,82,82,75,87,81,14,15,14,6,7,78,80,79,79,79,80,84,85,87,85,87,86,87,86,81,86,0,1,1,0,0,0,0,1
43,24,187,82,87,91,4,1886,407,102500000,170000,197300000,3,38,65,67,88,54,81,46,74,74,57,65,59,87,74,22,51,81,7,8,13,7,12,64,59,60,60,60,59,64,67,73,67,81,86,81,83,89,83,0,1,0,0,1,1,0,0
44,33,173,70,87,87,0,2068,424,51000000,260000,104600000,4,89,75,87,69,70,80,83,64,88,75,68,82,89,90,83,80,91,13,15,6,11,14,87,83,85,85,85,83,87,83,78,83,60,60,60,57,53,57,0,1,1,0,0,0,0,1
45,34,188,82,87,87,0,1372,472,13500000,125000,25700000,4,83,65,90,84,13,50,11,50,34,61,62,55,85,49,14,50,65,88,83,65,84,90,34,33,34,34,34,33,41,39,42,39,38,41,38,37,33,37,1,0,0,0,1,0,0,1
46,21,180,76,87,91,4,2007,431,116500000,150000,224300000,3,76,82,91,65,82,87,84,70,90,85,78,91,85,73,65,87,86,7,11,10,11,13,81,85,84,84,84,85,88,88,82,88,69,65,69,63,51,63,0,1,1,0,0,0,0,1
47,30,187,89,86,86,0,1705,397,55500000,105000,94400000,3,28,51,65,85,30,63,28,63,64,74,87,51,83,55,15,52,82,7,11,7,13,5,59,55,57,57,57,55,60,62,65,62,76,79,76,79,86,79,0,1,0,0,1,1,0,0
48,26,188,80,86,88,2,1829,413,74000000,150000,131400000,3,41,53,68,84,40,72,34,49,72,76,84,54,86,50,30,46,87,10,13,12,8,12,63,60,60,60,60,60,63,65,67,65,79,80,79,81,88,81,0,1,0,0,1,1,0,0
49,28,191,81,86,88,2,1931,427,68500000,180000,131900000,3,49,64,63,82,42,78,46,76,78,79,85,62,84,52,53,59,83,11,11,9,5,14,69,64,66,66,66,64,70,70,75,70,80,84,80,83,88,83,0,1,0,0,1,1,0,0
50,30,163,59,86,86,0,2025,421,65500000,125000,111400000,4,78,85,90,45,77,87,87,84,93,90,84,89,79,76,82,89,81,8,4,14,9,10,80,85,84,84,84,85,86,86,83,86,66,62,66,61,47,61,0,1,1,0,0,0,0,1
51,29,197,86,86,87,1,1309,464,52000000,88000,92300000,3,83,80,87,84,15,35,20,37,23,44,46,50,83,60,18,42,40,85,83,80,84,87,35,29,31,31,31,29,35,34,36,34,32,35,32,32,32,32,1,0,0,0,1,0,0,1
52,32,182,74,86,86,0,2167,444,53500000,64000,112400000,2,83,90,81,69,86,92,88,90,86,52,49,63,80,81,88,89,85,5,9,12,14,8,79,80,81,81,81,80,85,83,86,83,79,82,79,76,73,76,0,1,0,0,1,0,0,1
53,32,189,76,86,86,0,2012,420,45000000,200000,92300000,4,62,79,80,75,62,87,66,85,86,40,43,67,86,61,54,83,90,5,8,13,9,13,73,73,75,75,75,73,81,78,85,78,80,86,80,79,82,79,0,1,0,0,1,0,0,1
54,30,174,70,86,86,0,2199,447,65000000,180000,120300000,3,72,86,90,66,78,90,85,89,92,72,55,91,84,75,73,85,88,6,11,7,9,13,77,81,80,80,80,81,86,85,86,85,80,83,80,78,74,78,0,1,0,0,1,0,0,1
55,32,170,68,86,86,0,2215,467,47000000,200000,96400000,3,69,81,83,71,85,85,80,79,85,87,86,90,80,64,66,78,80,13,15,13,6,13,79,82,80,80,80,82,84,86,84,86,85,83,85,85,79,85,1,0,1,0,0,0,0,1
56,32,191,96,86,86,0,2043,430,44000000,95000,74800000,4,59,77,72,77,65,82,66,86,79,47,64,61,88,71,49,80,89,15,6,10,5,6,73,68,70,70,70,68,75,74,81,74,81,86,81,83,86,83,0,1,1,0,0,1,0,0
57,36,187,85,86,86,0,1851,406,12000000,88000,19800000,4,46,60,58,85,63,65,60,67,57,67,69,53,80,78,49,50,83,3,3,2,4,3,60,55,55,55,55,55,58,61,65,61,78,80,78,81,86,81,1,0,0,0,1,1,0,0
58,36,193,92,86,86,0,1289,454,7500000,78000,12800000,3,81,65,87,92,12,42,20,40,21,45,50,47,79,49,19,41,69,81,81,65,92,87,33,29,31,31,31,29,36,34,37,34,33,36,33,32,32,32,0,1,0,0,1,0,0,1
59,25,191,82,86,89,3,2098,449,81000000,175000,155900000,3,70,77,77,82,63,85,65,83,82,60,62,65,80,83,76,81,83,10,10,7,14,8,78,74,76,76,76,74,81,79,85,79,81,86,81,81,84,81,0,1,0,0,1,1,0,0
60,26,184,74,86,89,3,2252,491,88000000,95000,187000000,3,80,81,82,82,74,86,73,83,84,86,90,82,86,84,79,86,83,13,6,6,11,15,85,83,84,84,84,83,87,87,87,87,85,86,85,84,82,84,0,1,1,0,0,0,0,1
61,30,179,67,86,86,0,2035,430,65500000,220000,121200000,3,80,81,90,60,81,83,85,75,91,84,79,92,81,80,80,84,84,15,9,13,11,6,81,85,84,84,84,85,86,86,81,86,67,64,67,61,51,61,1,0,0,0,1,0,0,1
62,29,180,77,86,86,0,2118,445,68000000,73000,142800000,2,86,77,84,73,77,81,75,75,85,80,78,77,89,83,83,78,78,15,12,7,12,10,86,83,84,84,84,83,85,85,80,85,68,66,68,66,60,66,1,0,1,0,0,0,0,1
63,34,179,74,86,86,0,2135,444,33000000,180000,62700000,3,84,70,80,73,69,74,68,60,82,85,85,76,91,87,67,76,88,15,14,7,15,11,86,81,83,83,83,81,83,83,77,83,71,68,71,70,66,70,0,1,1,0,0,0,0,1
64,27,182,74,86,87,1,2227,475,71500000,185000,137600000,3,71,83,84,72,86,85,84,78,85,86,84,80,85,80,75,83,85,6,9,15,14,14,81,82,81,81,81,82,85,86,86,86,87,84,87,86,81,86,0,1,1,0,0,0,0,1
65,27,191,85,86,89,3,1976,419,77000000,185000,148200000,3,50,72,68,80,58,82,61,80,78,59,67,57,87,68,47,65,84,10,11,5,14,5,69,65,66,66,66,65,71,71,77,71,80,85,80,82,88,82,1,0,0,0,1,0,0,1
66,25,180,76,86,87,1,1974,426,81000000,120000,139700000,4,76,79,88,60,79,80,83,74,88,94,93,91,85,80,73,81,78,5,3,5,3,5,83,85,84,84,84,85,87,87,78,87,63,58,63,59,48,59,0,1,0,0,1,0,0,1
67,26,173,64,86,86,0,2128,451,74000000,200000,136900000,2,76,83,91,67,85,86,84,76,90,83,77,94,84,76,76,84,87,9,10,14,12,9,79,85,84,84,84,85,86,86,84,86,76,73,76,71,62,71,1,0,1,0,0,1,0,0
68,27,188,78,86,88,2,2163,459,73500000,165000,141500000,3,69,78,77,83,75,84,71,82,81,65,68,64,86,81,70,75,84,13,12,6,8,8,77,75,75,75,75,75,79,80,84,80,85,87,85,85,87,85,0,1,0,0,1,1,0,0
69,29,181,76,85,85,0,2180,460,54000000,185000,99900000,3,78,79,89,78,73,84,81,76,90,77,77,85,86,79,76,83,88,8,11,9,6,10,84,83,83,83,83,83,85,85,85,85,75,75,75,72,70,72,0,1,1,0,0,1,0,0
70,30,176,73,85,85,0,2259,459,53000000,220000,0,4,84,84,87,72,83,84,86,82,89,80,80,92,89,82,83,85,90,14,8,14,13,14,85,85,85,85,85,85,85,85,85,85,74,72,74,72,66,72,1,0,0,0,1,0,0,1
71,30,175,74,85,85,0,2055,432,52000000,240000,106600000,4,80,82,88,63,77,85,83,81,88,86,82,87,79,82,77,84,89,11,12,6,8,8,82,84,83,83,83,84,85,85,81,85,66,64,66,61,51,61,0,1,0,0,1,0,0,1
72,31,191,86,85,85,0,1303,456,28500000,87000,48500000,3,84,76,86,82,16,35,18,31,25,42,44,41,81,57,12,44,45,85,84,76,82,86,34,29,31,31,31,29,34,34,35,34,33,36,33,33,36,33,0,1,0,0,1,0,0,1
73,34,185,77,85,85,0,2093,427,26000000,190000,48100000,4,86,70,75,79,68,75,76,52,81,64,68,68,90,87,77,75,85,12,5,13,13,10,85,78,81,81,81,78,81,79,76,79,68,67,68,66,66,66,0,1,1,0,0,1,0,0
74,32,183,79,85,85,0,1356,467,26500000,40000,45100000,3,81,84,86,86,13,40,12,31,25,48,54,55,82,63,12,64,57,79,81,84,86,86,35,32,34,34,34,32,39,37,40,37,33,36,33,32,32,32,0,1,0,0,1,0,0,1
75,35,173,67,85,85,0,2043,416,22000000,44000,46200000,4,74,87,87,53,83,90,82,83,90,70,57,84,85,72,73,90,91,6,15,7,6,12,78,82,82,82,82,82,85,85,85,85,70,71,70,65,59,65,1,0,1,0,0,0,0,1
76,27,176,78,85,86,1,2081,441,63000000,220000,133900000,3,83,82,85,79,84,81,85,76,85,81,83,80,83,87,83,85,80,8,14,6,12,10,85,84,84,84,84,84,86,86,80,86,64,62,64,59,52,59,0,1,1,0,0,0,1,0
77,34,189,89,85,85,0,1358,463,9000000,115000,17100000,2,78,80,90,83,18,44,13,46,40,45,51,61,82,60,14,59,67,84,78,80,83,90,35,33,35,35,35,33,40,37,41,37,33,38,33,32,31,32,0,1,0,0,1,0,0,1
78,33,167,68,85,85,0,2060,430,33500000,51000,70400000,3,78,84,87,55,83,85,85,80,86,91,83,93,86,79,82,86,85,8,11,12,9,6,79,84,83,83,83,84,85,85,82,85,69,65,69,64,52,64,0,1,1,0,0,0,0,1
79,30,180,80,85,85,0,2198,461,51500000,185000,95300000,3,80,85,86,72,78,88,86,85,89,66,65,77,86,79,81,86,87,11,14,5,5,13,81,82,82,82,82,82,85,85,85,85,81,83,81,78,76,78,0,1,1,0,0,0,0,1
80,32,180,71,85,85,0,2126,436,43000000,95000,73100000,4,84,84,85,63,85,85,88,79,86,76,71,83,86,86,83,86,85,12,12,13,13,11,82,84,83,83,83,84,85,85,82,85,71,69,71,67,59,67,0,1,1,0,0,0,0,1
81,34,190,85,85,85,0,1975,428,17500000,110000,28900000,3,58,69,71,80,44,81,56,81,79,60,68,59,82,74,65,71,86,2,2,3,2,4,69,64,66,66,66,64,72,69,77,69,77,85,77,79,85,79,0,1,0,0,1,1,0,0
82,31,183,83,85,85,0,2194,471,39000000,170000,72200000,3,63,76,78,82,77,79,76,77,81,89,94,66,85,86,69,69,75,12,6,16,15,8,77,76,76,76,76,76,78,81,80,81,85,83,85,85,84,85,0,1,1,0,0,1,0,0
83,32,187,80,85,85,0,2049,432,43500000,145000,82700000,3,85,75,79,69,76,77,81,64,81,87,91,77,86,82,78,77,87,6,9,15,9,9,85,82,83,83,83,82,84,84,77,84,67,61,67,63,54,63,0,1,0,0,1,0,1,0
84,29,176,75,85,85,0,2227,470,52500000,90000,107600000,3,75,85,81,80,85,86,85,84,83,72,69,73,88,83,80,86,86,14,12,5,10,13,80,80,81,81,81,80,85,85,85,85,85,85,85,83,80,83,0,1,0,0,1,0,0,1
85,36,183,79,85,85,0,2022,414,9500000,105000,17600000,4,54,72,71,78,60,80,62,80,79,52,54,67,82,71,65,71,86,9,12,5,9,10,68,65,67,67,67,65,72,70,78,70,79,85,79,80,85,80,0,1,0,0,1,1,0,0
86,25,176,77,85,86,1,2080,444,64500000,110000,111300000,4,84,79,86,69,74,82,74,78,83,90,77,87,86,87,82,83,80,14,10,10,9,7,83,84,84,84,84,84,86,86,81,86,69,67,69,65,57,65,0,1,1,0,0,0,0,1
87,29,189,78,85,85,0,1863,412,45000000,145000,76500000,3,41,64,69,79,49,75,45,71,75,69,74,61,85,65,60,70,85,8,10,7,14,13,62,61,62,62,62,61,68,67,74,67,80,84,80,82,85,82,0,1,0,0,1,1,0,0
88,21,189,89,85,90,5,1975,431,75000000,81000,129400000,3,59,60,68,87,52,75,48,63,73,71,75,60,84,82,66,45,82,12,11,11,12,10,71,64,65,65,65,64,67,68,70,68,78,81,78,81,87,81,0,1,0,0,1,1,0,0
89,22,181,73,85,88,3,2188,482,69500000,100000,133800000,2,71,78,84,78,86,81,68,73,83,95,95,86,84,77,70,75,80,10,8,14,6,8,80,83,81,81,81,83,82,85,81,85,85,81,85,84,79,84,0,1,1,0,0,0,0,1
90,23,186,70,85,89,4,2146,458,77500000,150000,149200000,3,84,79,85,77,80,80,83,71,84,86,93,84,84,92,81,81,80,11,6,15,7,14,86,84,84,84,84,84,86,86,80,86,70,67,70,66,60,66,0,1,1,0,0,0,0,1
91,23,174,72,85,89,4,2145,454,78000000,145000,138500000,3,81,72,85,84,56,78,78,73,85,86,83,86,89,80,74,81,83,11,8,8,8,13,87,81,84,84,84,81,85,83,80,83,68,69,68,66,65,66,0,1,1,0,0,0,0,1
92,24,181,79,85,89,4,2056,433,77500000,57000,168600000,2,82,81,84,63,82,83,77,73,85,83,81,83,81,80,81,85,83,10,6,10,13,11,81,84,83,83,83,84,85,85,79,85,66,63,66,62,53,62,1,0,1,0,0,0,0,1
93,24,183,74,85,88,3,2113,442,66500000,120000,131300000,1,62,69,74,83,53,78,60,75,77,65,68,69,88,80,70,67,80,13,14,7,7,13,72,69,71,71,71,69,74,73,79,73,81,85,81,82,86,82,0,1,0,0,1,1,0,0
94,26,191,76,85,87,2,2224,473,66000000,100000,117200000,3,79,80,81,86,64,85,80,85,86,66,70,62,83,83,80,82,84,7,10,7,16,7,84,79,81,81,81,79,84,83,87,83,81,85,81,81,84,81,0,1,1,0,0,0,0,1
95,29,180,68,85,85,0,2133,435,52500000,170000,97100000,2,67,86,81,73,75,92,75,89,87,61,50,77,82,71,62,88,81,14,7,13,14,8,72,76,76,76,76,76,82,80,85,80,80,84,80,78,75,78,0,1,0,0,1,0,0,1
96,29,173,73,85,85,0,2124,453,47500000,210000,97400000,3,54,78,80,80,82,83,76,74,83,79,80,79,83,68,47,74,81,13,13,15,9,15,74,76,74,74,74,76,79,81,81,81,85,84,85,85,83,85,0,1,1,0,0,0,0,1
97,27,178,74,84,84,0,2227,464,40500000,110000,77000000,2,69,80,80,76,88,81,83,73,84,81,77,74,83,83,76,75,81,6,12,9,6,13,76,78,77,77,77,78,79,81,81,81,84,82,84,84,81,84,1,0,1,0,0,0,0,1
98,29,180,78,84,84,0,2247,467,35500000,195000,72800000,4,70,81,80,76,80,85,77,80,84,78,77,76,88,82,78,78,85,5,7,14,15,9,78,78,78,78,78,78,82,82,84,82,84,84,84,84,84,84,1,0,0,0,1,0,0,1
99,28,183,74,84,84,0,2009,423,42500000,95000,72300000,2,76,86,85,59,69,92,86,90,91,61,59,69,74,78,76,92,78,6,8,6,12,11,76,79,80,80,80,79,84,82,84,82,71,73,71,67,61,67,0,1,0,0,1,0,0,1
100,32,181,76,84,84,0,2109,439,33500000,32000,46900000,3,81,85,85,76,86,87,85,80,87,67,70,76,83,79,77,88,86,11,11,14,9,16,83,83,83,83,83,83,84,84,83,84,69,68,69,64,58,64,1,0,0,0,1,0,0,1
101,30,170,68,84,84,0,2108,440,41500000,88000,78900000,2,84,77,88,70,74,82,82,66,87,83,81,91,86,84,74,80,85,6,13,9,7,7,84,84,84,84,84,84,84,84,79,84,65,63,65,61,55,61,0,1,1,0,0,0,1,0
102,21,171,69,84,92,8,2060,442,94500000,125000,193700000,3,78,80,87,57,75,84,73,78,88,86,82,90,83,82,77,84,82,8,15,6,10,13,80,83,83,83,83,83,87,86,84,86,75,73,75,71,62,71,1,0,1,0,0,0,0,1
103,33,190,79,84,84,0,2056,438,27000000,84000,45900000,3,86,84,86,67,82,86,85,77,88,76,74,83,80,88,89,87,80,13,13,8,12,6,84,84,84,84,84,84,84,84,82,84,66,66,66,61,54,61,1,0,0,0,1,0,0,1
104,28,195,88,84,85,1,1449,476,33500000,81000,66200000,3,83,82,85,83,22,50,22,51,35,59,57,49,80,62,16,66,60,85,83,82,83,85,39,35,37,37,37,35,43,41,45,41,36,40,36,36,35,36,0,1,0,0,1,0,0,1
105,33,176,67,84,84,0,2071,430,27000000,46000,56700000,2,85,79,86,63,80,80,79,73,86,78,86,90,84,79,81,81,85,12,16,9,12,13,84,84,84,84,84,84,84,84,78,84,63,60,63,59,51,59,1,0,1,0,0,1,0,0
